user_id,role_id,role_name,permissions,created_at,updated_at
1,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-01,2024-03-01 
2,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-02,2024-03-02 
3,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-03,2024-03-03 
4,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-04,2024-03-04 
5,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-05,2024-03-05 
6,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-06,2024-03-06 
7,1,Buyer,"Manage Users, Manage Properties, Approve Listings, View Reports",2024-02-07,2024-03-07 
8,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-08,2024-03-08 
9,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-09,2024-03-09 
10,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-10,2024-03-10 
11,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-11,2024-03-11 
12,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-12,2024-03-12 
13,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-13,2024-03-13 
14,1,Buyer,"Manage Users, Manage Properties, Approve Listings, View Reports",2024-02-14,2024-03-14 
15,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-15,2024-03-15 
16,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-16,2024-03-16 
17,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-17,2024-03-17 
18,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-18,2024-03-18 
19,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-19,2024-03-19 
20,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-20,2024-03-20 
21,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-21,2024-03-21 
22,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-22,2024-03-22 
23,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-23,2024-03-23 
24,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-24,2024-03-24 
25,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-25,2024-03-25 
26,1,Agent,"Manage Users, Manage Properties, Approve Listings, View Reports",2024-02-26,2024-03-26 
27,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-02-27,2024-03-27 
28,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-02-28,2024-03-28 
29,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-02-29,2024-03-29 
30,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-01,2024-03-30 
31,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-02,2024-03-31 
32,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-03-03,2024-04-01 
33,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-04,2024-04-02 
34,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-05,2024-04-03 
35,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-03-06,2024-04-04 
36,1,Seller,"Manage Users, Manage Properties, Approve Listings, View Reports",2024-03-07,2024-04-05 
37,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-08,2024-04-06 
38,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-09,2024-04-07 
39,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-03-10,2024-04-08 
40,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-11,2024-04-09 
41,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-12,2024-04-10 
42,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-03-13,2024-04-11 
43,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-14,2024-04-12 
44,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-15,2024-04-13 
45,4,Agent,"Manage Client Requests, Assist in Buying/Selling, Schedule Property Visits",2024-03-16,2024-04-14 
46,1,Buyer,"Manage Users, Manage Properties, Approve Listings, View Reports",2024-03-17,2024-04-15 
47,2,Seller,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-18,2024-04-16 
48,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-19,2024-04-17 
49,2,Buyer,"Browse Listings, Save Favorites, Contact Sellers, Schedule Visits",2024-03-20,2024-04-18 
50,3,Seller,"List Properties, Edit Listings, View Buyer Interests, Respond to Inquiries",2024-03-21,2024-04-19 
